ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL
すべてのフレーズ	Alle Sätze	All phrase	Todas las frases	toutes les expressions	Tutte le frasi	todas as frases	所有短语	วลีที่ทั้งหมด	All statements	所有短语	كل عبارة	wszystko fraza	όλα φράση	semua frase	Alla fras	모든 구	Minden kifejezés	všechny fráze	Alle sætning	kaikki lause	toate fraza	Alle frase	všetky frázy	Все фраза	Alle zin	所有短語	All phrase	All phrase	All phrase	All phrase	Todas las frases	toutes les expressions	todas as frases	Alle zin
あいさつ	Gruß	Greeting	saludo	accueil	saluto	saudação	欢迎	การทักทาย	greeting	欢迎	تحية	powitanie	χαιρετισμός	salam	Hälsnings	인사말	üdvözlet	pozdrav	hilsen	tervehdys	salut	hilsen	pozdrav	приветствие	groet	歡迎	Greeting	Greeting	Greeting	Greeting	saludo	accueil	saudação	groet
日常	Leben	Life	vida	vie	vita	vida	生活	ชีวิต	life	生活	حياة	życie	ζωή	hidup	Life	생활	élet	život	Life	elämä	viață	livet	život	жизнь	leven	生活	Life	Life	Life	Life	vida	vie	vida	leven
コミュニケーション	Kommunikation	Communication	comunicación	communication	comunicazione	comunicação	通讯	การสื่อสาร	communication	通讯	اتصالات	komunikacja	επικοινωνία	komunikasi	Kommunikation	통신	közlés	komunikace	kommunikation	viestintä	comunicare	kommunikasjon	komunikácie	коммуникация	mededeling	通訊	Communication	Communication	Communication	Communication	comunicación	communication	comunicação	mededeling
疑問	Frage	Question	pregunta	question	domanda	pergunta	问题	คำถาม	question	问题	سؤال	pytanie	ερώτηση	pertanyaan	Fråga	문제	kérdés	otázka	spørgsmål	kysymys	întrebare	spørsmål	otázka	вопрос	vraag	問題	Question	Question	Question	Question	pregunta	question	pergunta	vraag
数字	Anzahl	Number	número	nombre	numero	número	数	จำนวน	number	数	عدد	liczba	αριθμός	nomor	Antal	수	szám	číslo	nummer	numero	număr	antall	číslo	число	aantal	數	Number	Number	Number	Number	número	nombre	número	aantal
移動	Transport	Transportation	transporte	transport	Trasporti	transporte	运输	การขนส่ง	transport	运输	نقل	transport	μεταφορά	pengangkutan	Transportfordon	수송	szállítás	doprava	transport	kuljetus	Transport	Transport	doprava	транспорт	vervoer	運輸	Transportation	Transportation	Transportation	Transportation	transporte	transport	transporte	vervoer
ホテル	Hotel	Hotel	hotel	hôtel	albergo	hotel	旅馆	โรงแรม	hotel	旅馆	الفندق	hotel	ξενοδοχείο	hotel	Hotel	호텔	hotel	hotel	Hotel	hotelli	hotel	Hotel	hotel	отель	hotel	旅館	Hotel	Hotel	Hotel	Hotel	hotel	hôtel	hotel	hotel
ショッピング	Einkaufen	Shopping	compras	shopping	shopping	compras	购物	แหล่งช้อปปิ้ง	shopping	购物	التسوق	zakupy	ψώνια	perbelanjaan	Shopping	쇼핑	bevásárlás	nakupování	shopping	ostokset	cumpărături	Shopping	nakupovanie	покупка товаров	het winkelen	購物	Shopping	Shopping	Shopping	Shopping	compras	shopping	compras	het winkelen
レストラン	Restaurant	Restaurant	restaurante	restaurant	ristorante	restaurante	餐厅	ร้านอาหาร	Restaurant	餐厅	مطعم	Restauracja	Εστιατόριο	Restoran	Restaurang	레스토랑	Étterem	Restaurace	Restaurant	ravintola	restaurant	Restaurant	Reštaurácia	Ресторан	Restaurant	餐廳	Restaurant	Restaurant	Restaurant	Restaurant	restaurante	restaurant	restaurante	Restaurant
観光	Besichtigung	Sightseeing	turismo	tourisme	giro turistico	Sightseeing	游览	การชมทิวทัศน์	trip	游览	سياحة	zwiedzanie	Ξενάγηση	tamasya	Resmål	관광	városnézés	prohlídka	Sightseeing	kiertoajelu	turistic	Sightseeing	prehliadka	экскурсионный	Sightseeing	遊覽	Sightseeing	Sightseeing	Sightseeing	Sightseeing	turismo	tourisme	Sightseeing	Sightseeing
トラブル	Ärger	Trouble	problema	difficulté	difficoltà	dificuldade	麻烦	ปัญหา	issue	麻烦	مشكلة	kłopot	φασαρία	kesulitan	Trouble	수고	baj	problémy	Trouble	vaivata	necaz	Trouble	problémy	беда	moeite	麻煩	Trouble	Trouble	Trouble	Trouble	problema	difficulté	dificuldade	moeite
